usuario,accion,sala,tamano_mensaje_bytes,timestamp
admin,SOCKET_CONNECT,system,0,2025-09-27T06:53:57.643627
admin,JOIN_ROOM,00000000,0,2025-09-27T06:54:10.001401
admin,SEND_MESSAGE,00000000,56,2025-09-27T06:54:36.960822
admin,SEND_MESSAGE,00000000,36,2025-09-27T06:54:55.459268
admin,SOCKET_CONNECT,system,0,2025-09-27T06:58:54.256758
admin,SOCKET_CONNECT,system,0,2025-09-27T07:00:56.246907
admin,SOCKET_CONNECT,system,0,2025-09-27T07:02:38.273050
admin,SOCKET_CONNECT,system,0,2025-09-27T07:05:14.266286
admin,SOCKET_CONNECT,system,0,2025-09-27T07:07:56.255658
admin,SOCKET_CONNECT,system,0,2025-09-27T07:13:52.628715
admin,SOCKET_CONNECT,system,0,2025-09-27T07:15:05.282057
admin,SOCKET_CONNECT,system,0,2025-09-27T07:18:40.265050
arachne,SOCKET_CONNECT,system,0,2025-09-27T07:29:08.800989
arachne,JOIN_ROOM,FFFFFFFF,0,2025-09-27T07:29:22.436486
arachne,SEND_MESSAGE,FFFFFFFF,52,2025-09-27T07:29:37.032029
arachne,SEND_MESSAGE,FFFFFFFF,48,2025-09-27T07:29:59.092050
arachne,SEND_MESSAGE,FFFFFFFF,19,2025-09-27T07:30:04.553361
arachne,SEND_MESSAGE,FFFFFFFF,26,2025-09-27T07:30:19.393858
arachne,SOCKET_DISCONNECT,system,0,2025-09-27T07:30:58.770004
arachne,SOCKET_CONNECT,system,0,2025-09-27T07:49:01.392538
arachne,JOIN_ROOM,00000000,0,2025-09-27T07:49:09.082591
arachne,SEND_MESSAGE,00000000,48,2025-09-27T07:49:24.987790
arachne,SOCKET_DISCONNECT,system,0,2025-09-27T10:04:46.023436
arachne,SOCKET_CONNECT,system,0,2025-09-27T10:05:13.402102
arachne,SOCKET_CONNECT,system,0,2025-09-27T10:05:14.418096
arachne,SOCKET_DISCONNECT,system,0,2025-09-27T10:05:37.841037
arachne,SOCKET_DISCONNECT,system,0,2025-09-27T10:05:41.682653
